"AGE_GROUP_ARAB","AGE_GROUP_ENGL","NATIONALITY_ARAB","NATIONALITY_ENGL","OBSVALUE_OBSV","SEX_ARAB","SEX_ENGL","YEAR_TIME"
"0-9","0-9","غير سعودي","Non Saudi","9766","أنثى","Female","1440"
"20-29","20-29","سعودي"," Saudi ","11871","أنثى","Female","1440"
"30-39","30-39","غير سعودي","Non Saudi","24276","ذكر","Male","1439"
"40-49","40-49","غير سعودي","Non Saudi","6268","أنثى","Female","1441"
"50-59","50-59","سعودي"," Saudi ","3490","ذكر","Male","1439"
"30-39","30-39","سعودي"," Saudi ","8469","ذكر","Male","1440"
"50-59","50-59","سعودي"," Saudi ","3204","أنثى","Female","1441"
"10-19","10-19","سعودي"," Saudi ","1916","أنثى","Female","1441"
"60-69","60-69","سعودي"," Saudi ","159","أنثى","Female","1441"
"40-49","40-49","غير سعودي","Non Saudi","5922","ذكر","Male","1440"
"60-69","60-69","سعودي"," Saudi ","85","أنثى","Female","1440"
"20-29","20-29","غير سعودي","Non Saudi","722","أنثى","Female","1440"
"10-19","10-19","سعودي"," Saudi ","3036","أنثى","Female","1440"
"30-39","30-39","غير سعودي","Non Saudi","1955","أنثى","Female","1439"
"0-9","0-9","سعودي"," Saudi ","14370","أنثى","Female","1439"
"30-39","30-39","غير سعودي","Non Saudi","73148","ذكر","Male","1440"
"40-49","40-49","سعودي"," Saudi ","3949","أنثى","Female","1441"
"10-19","10-19","غير سعودي","Non Saudi","13212","أنثى","Female","1439"
"0-9","0-9","غير سعودي","Non Saudi","10871","أنثى","Female","1439"
"30-39","30-39","سعودي"," Saudi ","16910","أنثى","Female","1439"
"50-59","50-59","غير سعودي","Non Saudi","346","أنثى","Female","1439"
"0-9","0-9","سعودي"," Saudi ","3819","ذكر","Male","1440"
"60-69","60-69","سعودي"," Saudi ","3641","أنثى","Female","1439"
"60-69","60-69","سعودي"," Saudi ","909","ذكر","Male","1441"
"60-69","60-69","سعودي"," Saudi ","814","أنثى","Female","1441"
"10-19","10-19","سعودي"," Saudi ","118","أنثى","Female","1441"
"30-39","30-39","غير سعودي","Non Saudi","119376","أنثى","Female","1439"
"30-39","30-39","سعودي"," Saudi ","127525","ذكر","Male","1439"
"30-39","30-39","سعودي"," Saudi ","124137","أنثى","Female","1439"
"60-69","60-69","سعودي"," Saudi ","10281","ذكر","Male","1440"
"60-69","60-69","سعودي"," Saudi ","3796","أنثى","Female","1440"
"20-29","20-29","غير سعودي","Non Saudi","30275","أنثى","Female","1439"
"30-39","30-39","سعودي"," Saudi ","20132","أنثى","Female","1439"
"30-39","30-39","غير سعودي","Non Saudi","39949","ذكر","Male","1439"
"30-39","30-39","سعودي"," Saudi ","2096","ذكر","Male","1440"
"10-19","10-19","سعودي"," Saudi ","1015","أنثى","Female","1440"
"10-19","10-19","سعودي"," Saudi ","1022","أنثى","Female","1440"
"20-29","20-29","سعودي"," Saudi ","75","ذكر","Male","1441"
"10-19","10-19","سعودي"," Saudi ","1358","ذكر","Male","1441"
"20-29","20-29","سعودي"," Saudi ","9475","أنثى","Female","1439"
"20-29","20-29","سعودي"," Saudi ","17700","أنثى","Female","1439"
"0-9","0-9","سعودي"," Saudi ","1369","ذكر","Male","1439"
"30-39","30-39","سعودي"," Saudi ","23881","ذكر","Male","1439"
"20-29","20-29","غير سعودي","Non Saudi","12537","ذكر","Male","1439"
"0-9","0-9","غير سعودي","Non Saudi","69412","أنثى","Female","1440"
"20-29","20-29","غير سعودي","Non Saudi","13388","ذكر","Male","1439"
"30-39","30-39","سعودي"," Saudi ","4260","أنثى","Female","1440"
"0-9","0-9","غير سعودي","Non Saudi","33496","ذكر","Male","1440"
"40-49","40-49","سعودي"," Saudi ","32966","أنثى","Female","1439"
"40-49","40-49","سعودي"," Saudi ","10600","ذكر","Male","1441"
"10-19","10-19","سعودي"," Saudi ","12210","ذكر","Male","1439"
"40-49","40-49","سعودي"," Saudi ","15559","ذكر","Male","1440"
"40-49","40-49","سعودي"," Saudi ","5800","ذكر","Male","1441"
"0-9","0-9","غير سعودي","Non Saudi","345","ذكر","Male","1440"
"70+","70+","سعودي"," Saudi ","290","ذكر","Male","1440"
"0-9","0-9","سعودي"," Saudi ","12120","أنثى","Female","1439"
"70+","70+","غير سعودي","Non Saudi","396","أنثى","Female","1440"
"40-49","40-49","سعودي"," Saudi ","1092","أنثى","Female","1439"
"20-29","20-29","غير سعودي","Non Saudi","84102","ذكر","Male","1440"
"40-49","40-49","غير سعودي","Non Saudi","2155","ذكر","Male","1439"
"30-39","30-39","سعودي"," Saudi ","8113","أنثى","Female","1439"
"10-19","10-19","غير سعودي","Non Saudi","69907","ذكر","Male","1440"
"20-29","20-29","سعودي"," Saudi ","46938","ذكر","Male","1440"
"60-69","60-69","سعودي"," Saudi ","16104","ذكر","Male","1439"
"10-19","10-19","سعودي"," Saudi ","1470","أنثى","Female","1439"
"30-39","30-39","غير سعودي","Non Saudi","2442","ذكر","Male","1439"
"20-29","20-29","سعودي"," Saudi ","2081","ذكر","Male","1439"
"40-49","40-49","سعودي"," Saudi ","3706","ذكر","Male","1439"
"50-59","50-59","سعودي"," Saudi ","2765","أنثى","Female","1441"
"30-39","30-39","سعودي"," Saudi ","3950","أنثى","Female","1439"
"70+","70+","غير سعودي","Non Saudi","259","ذكر","Male","1441"
"30-39","30-39","سعودي"," Saudi ","233","أنثى","Female","1441"
"30-39","30-39","غير سعودي","Non Saudi","255","أنثى","Female","1441"
"60-69","60-69","غير سعودي","Non Saudi","23","أنثى","Female","1440"
"0-9","0-9","غير سعودي","Non Saudi","81","أنثى","Female","1440"
"20-29","20-29","سعودي"," Saudi ","134684","ذكر","Male","1439"
"30-39","30-39","غير سعودي","Non Saudi","121193","أنثى","Female","1440"
"20-29","20-29","سعودي"," Saudi ","4969","أنثى","Female","1439"
"40-49","40-49","غير سعودي","Non Saudi","1798","ذكر","Male","1440"
"30-39","30-39","سعودي"," Saudi ","38686","أنثى","Female","1439"
"0-9","0-9","سعودي"," Saudi ","3486","أنثى","Female","1440"
"30-39","30-39","سعودي"," Saudi ","1815","ذكر","Male","1441"
"50-59","50-59","سعودي"," Saudi ","6713","ذكر","Male","1441"
"70+","70+","سعودي"," Saudi ","722","أنثى","Female","1441"
"20-29","20-29","غير سعودي","Non Saudi","5004","أنثى","Female","1439"
"10-19","10-19","غير سعودي","Non Saudi","247","أنثى","Female","1441"
"70+","70+","سعودي"," Saudi ","1480","أنثى","Female","1439"
"70+","70+","سعودي"," Saudi ","78","ذكر","Male","1439"
"50-59","50-59","غير سعودي","Non Saudi","1506","ذكر","Male","1440"
"50-59","50-59","غير سعودي","Non Saudi","270867","ذكر","Male","1440"
"20-29","20-29","سعودي"," Saudi ","5895","ذكر","Male","1439"
"50-59","50-59","سعودي"," Saudi ","65265","أنثى","Female","1439"
"40-49","40-49","غير سعودي","Non Saudi","16948","أنثى","Female","1440"
"10-19","10-19","غير سعودي","Non Saudi","6205","ذكر","Male","1441"
"30-39","30-39","غير سعودي","Non Saudi","2183","ذكر","Male","1441"
"50-59","50-59","غير سعودي","Non Saudi","10074","أنثى","Female","1440"
"50-59","50-59","غير سعودي","Non Saudi","1612","ذكر","Male","1439"
"20-29","20-29","سعودي"," Saudi ","1343","أنثى","Female","1439"
"0-9","0-9","سعودي"," Saudi ","3457","أنثى","Female","1439"
"40-49","40-49","غير سعودي","Non Saudi","2987","ذكر","Male","1439"
"40-49","40-49","غير سعودي","Non Saudi","1990","ذكر","Male","1440"
"20-29","20-29","سعودي"," Saudi ","1394","ذكر","Male","1440"
"70+","70+","سعودي"," Saudi ","1966","أنثى","Female","1440"
"50-59","50-59","سعودي"," Saudi ","428","أنثى","Female","1441"
"30-39","30-39","سعودي"," Saudi ","50082","ذكر","Male","1440"
"70+","70+","سعودي"," Saudi ","818","أنثى","Female","1440"
"20-29","20-29","غير سعودي","Non Saudi","14814","أنثى","Female","1439"
"70+","70+","غير سعودي","Non Saudi","1356","ذكر","Male","1440"
"50-59","50-59","سعودي"," Saudi ","84991","ذكر","Male","1440"
"70+","70+","سعودي"," Saudi ","455","أنثى","Female","1440"
"10-19","10-19","سعودي"," Saudi ","761","أنثى","Female","1441"
"10-19","10-19","سعودي"," Saudi ","624","ذكر","Male","1440"
"40-49","40-49","سعودي"," Saudi ","551","أنثى","Female","1440"
"70+","70+","سعودي"," Saudi ","275","أنثى","Female","1441"
"70+","70+","سعودي"," Saudi ","220","ذكر","Male","1441"
"70+","70+","سعودي"," Saudi ","1453","أنثى","Female","1441"
"40-49","40-49","سعودي"," Saudi ","24221","ذكر","Male","1439"
"20-29","20-29","غير سعودي","Non Saudi","71680","ذكر","Male","1439"
"50-59","50-59","سعودي"," Saudi ","4299","أنثى","Female","1440"
"10-19","10-19","سعودي"," Saudi ","2662","أنثى","Female","1440"
"60-69","60-69","غير سعودي","Non Saudi","916","ذكر","Male","1441"
"30-39","30-39","غير سعودي","Non Saudi","12056","أنثى","Female","1441"
"10-19","10-19","سعودي"," Saudi ","712","أنثى","Female","1439"
"40-49","40-49","سعودي"," Saudi ","9359","أنثى","Female","1440"
"20-29","20-29","سعودي"," Saudi ","3242","أنثى","Female","1441"
"40-49","40-49","سعودي"," Saudi ","4738","أنثى","Female","1441"
"30-39","30-39","سعودي"," Saudi ","1542","ذكر","Male","1440"
"50-59","50-59","سعودي"," Saudi ","2048","أنثى","Female","1439"
"0-9","0-9","سعودي"," Saudi ","1244","أنثى","Female","1441"
"10-19","10-19","سعودي"," Saudi ","4232","ذكر","Male","1439"
"30-39","30-39","سعودي"," Saudi ","1776","ذكر","Male","1440"
"30-39","30-39","سعودي"," Saudi ","739","أنثى","Female","1440"
"20-29","20-29","سعودي"," Saudi ","2715","ذكر","Male","1439"
"70+","70+","سعودي"," Saudi ","557","ذكر","Male","1441"
"40-49","40-49","غير سعودي","Non Saudi","1400","أنثى","Female","1440"
"0-9","0-9","سعودي"," Saudi ","528","ذكر","Male","1441"
"30-39","30-39","غير سعودي","Non Saudi","1518","أنثى","Female","1439"
"10-19","10-19","غير سعودي","Non Saudi","416","ذكر","Male","1439"
"60-69","60-69","سعودي"," Saudi ","563","أنثى","Female","1439"
"10-19","10-19","غير سعودي","Non Saudi","141","أنثى","Female","1441"
"50-59","50-59","غير سعودي","Non Saudi","224","أنثى","Female","1439"
"60-69","60-69","سعودي"," Saudi ","715","أنثى","Female","1439"
"50-59","50-59","سعودي"," Saudi ","15564","أنثى","Female","1440"
"10-19","10-19","سعودي"," Saudi ","29923","أنثى","Female","1440"
"70+","70+","غير سعودي","Non Saudi","330","أنثى","Female","1439"
"70+","70+","غير سعودي","Non Saudi","2412","ذكر","Male","1439"
"70+","70+","غير سعودي","Non Saudi","14761","ذكر","Male","1439"
"70+","70+","سعودي"," Saudi ","2461","أنثى","Female","1440"
"10-19","10-19","غير سعودي","Non Saudi","328","أنثى","Female","1440"
"50-59","50-59","سعودي"," Saudi ","22080","ذكر","Male","1439"
"70+","70+","غير سعودي","Non Saudi","3535","ذكر","Male","1439"
"70+","70+","غير سعودي","Non Saudi","368","ذكر","Male","1439"
"40-49","40-49","غير سعودي","Non Saudi","5538","ذكر","Male","1439"
"40-49","40-49","غير سعودي","Non Saudi","7493","ذكر","Male","1439"
"60-69","60-69","سعودي"," Saudi ","3693","أنثى","Female","1441"
"50-59","50-59","غير سعودي","Non Saudi","839","ذكر","Male","1441"
"10-19","10-19","غير سعودي","Non Saudi","190","أنثى","Female","1440"
"30-39","30-39","غير سعودي","Non Saudi","145","أنثى","Female","1441"
"70+","70+","سعودي"," Saudi ","506","أنثى","Female","1439"
"50-59","50-59","سعودي"," Saudi ","7823","ذكر","Male","1439"
"0-9","0-9","سعودي"," Saudi ","27743","ذكر","Male","1439"
"10-19","10-19","غير سعودي","Non Saudi","2888","ذكر","Male","1441"
"40-49","40-49","سعودي"," Saudi ","11317","أنثى","Female","1440"
"10-19","10-19","سعودي"," Saudi ","61635","أنثى","Female","1439"
"60-69","60-69","سعودي"," Saudi ","4263","ذكر","Male","1440"
"40-49","40-49","سعودي"," Saudi ","12814","ذكر","Male","1441"
"30-39","30-39","غير سعودي","Non Saudi","7208","ذكر","Male","1439"
"0-9","0-9","سعودي"," Saudi ","3150","أنثى","Female","1439"
"0-9","0-9","سعودي"," Saudi ","26235","أنثى","Female","1440"
"50-59","50-59","سعودي"," Saudi ","1564","ذكر","Male","1440"
"0-9","0-9","غير سعودي","Non Saudi","154","أنثى","Female","1439"
"30-39","30-39","غير سعودي","Non Saudi","293","أنثى","Female","1440"
"30-39","30-39","سعودي"," Saudi ","561","أنثى","Female","1441"
"40-49","40-49","سعودي"," Saudi ","3908","ذكر","Male","1441"
"70+","70+","سعودي"," Saudi ","216","ذكر","Male","1440"
"10-19","10-19","غير سعودي","Non Saudi","146","ذكر","Male","1441"
"10-19","10-19","غير سعودي","Non Saudi","262","ذكر","Male","1440"
"30-39","30-39","غير سعودي","Non Saudi","5447","ذكر","Male","1441"
"0-9","0-9","سعودي"," Saudi ","261","أنثى","Female","1440"
"20-29","20-29","غير سعودي","Non Saudi","331","أنثى","Female","1439"
"40-49","40-49","غير سعودي","Non Saudi","1545","أنثى","Female","1440"
"0-9","0-9","سعودي"," Saudi ","266","أنثى","Female","1441"
"50-59","50-59","غير سعودي","Non Saudi","562","أنثى","Female","1440"
"30-39","30-39","غير سعودي","Non Saudi","257963","ذكر","Male","1440"
"0-9","0-9","سعودي"," Saudi ","1476","ذكر","Male","1441"
"10-19","10-19","سعودي"," Saudi ","10346","أنثى","Female","1440"
"50-59","50-59","غير سعودي","Non Saudi","10185","ذكر","Male","1439"
"30-39","30-39","سعودي"," Saudi ","6908","أنثى","Female","1439"
"60-69","60-69","غير سعودي","Non Saudi","2945","ذكر","Male","1441"
"0-9","0-9","غير سعودي","Non Saudi","1153","أنثى","Female","1439"
"20-29","20-29","غير سعودي","Non Saudi","316","أنثى","Female","1439"
"0-9","0-9","سعودي"," Saudi ","45082","ذكر","Male","1440"
"40-49","40-49","غير سعودي","Non Saudi","3465","ذكر","Male","1439"
"40-49","40-49","غير سعودي","Non Saudi","4702","ذكر","Male","1441"
"10-19","10-19","سعودي"," Saudi ","258","ذكر","Male","1440"
"0-9","0-9","سعودي"," Saudi ","950","ذكر","Male","1439"
"10-19","10-19","غير سعودي","Non Saudi","61","ذكر","Male","1441"
"10-19","10-19","سعودي"," Saudi ","19379","ذكر","Male","1440"
"30-39","30-39","سعودي"," Saudi ","16767","أنثى","Female","1439"
"40-49","40-49","غير سعودي","Non Saudi","39202","أنثى","Female","1440"
"70+","70+","سعودي"," Saudi ","4539","ذكر","Male","1440"
"10-19","10-19","غير سعودي","Non Saudi","8744","ذكر","Male","1440"
"40-49","40-49","سعودي"," Saudi ","12631","أنثى","Female","1439"
"50-59","50-59","سعودي"," Saudi ","48302","أنثى","Female","1439"
"30-39","30-39","سعودي"," Saudi ","8778","ذكر","Male","1439"
"40-49","40-49","غير سعودي","Non Saudi","960","أنثى","Female","1440"
