"AGE_GROUP_ARAB","AGE_GROUP_ENGL","NATIONALITY_ARAB","NATIONALITY_ENGL","OBSVALUE_OBSV","SEX_ARAB","SEX_ENGL","YEAR_TIME"
"10-19","10-19","غير سعودي","Non Saudi","237","ذكر","Male","1441"
"20-29","20-29","غير سعودي","Non Saudi","5260","ذكر","Male","1440"
"0-9","0-9","غير سعودي","Non Saudi","14287","أنثى","Female","1440"
"40-49","40-49","سعودي"," Saudi ","1763","ذكر","Male","1439"
"20-29","20-29","سعودي"," Saudi ","659","أنثى","Female","1441"
"50-59","50-59","سعودي"," Saudi ","9717","أنثى","Female","1439"
"60-69","60-69","سعودي"," Saudi ","3979","أنثى","Female","1439"
"10-19","10-19","سعودي"," Saudi ","16308","ذكر","Male","1439"
"20-29","20-29","سعودي"," Saudi ","4845","ذكر","Male","1440"
"0-9","0-9","غير سعودي","Non Saudi","5167","ذكر","Male","1440"
"40-49","40-49","سعودي"," Saudi ","39085","ذكر","Male","1440"
"40-49","40-49","غير سعودي","Non Saudi","535","أنثى","Female","1441"
"40-49","40-49","غير سعودي","Non Saudi","4145","ذكر","Male","1440"
"50-59","50-59","غير سعودي","Non Saudi","1403","ذكر","Male","1441"
"50-59","50-59","سعودي"," Saudi ","11565","ذكر","Male","1440"
"30-39","30-39","سعودي"," Saudi ","108367","أنثى","Female","1439"
"0-9","0-9","سعودي"," Saudi ","3049","ذكر","Male","1440"
"50-59","50-59","غير سعودي","Non Saudi","2575","ذكر","Male","1440"
"0-9","0-9","سعودي"," Saudi ","1332","أنثى","Female","1439"
"40-49","40-49","سعودي"," Saudi ","18632","ذكر","Male","1439"
"20-29","20-29","غير سعودي","Non Saudi","7610","ذكر","Male","1441"
"0-9","0-9","سعودي"," Saudi ","1365","أنثى","Female","1440"
"60-69","60-69","سعودي"," Saudi ","1383","ذكر","Male","1441"
"70+","70+","سعودي"," Saudi ","1223","أنثى","Female","1439"
"10-19","10-19","غير سعودي","Non Saudi","157","أنثى","Female","1440"
"10-19","10-19","غير سعودي","Non Saudi","1021","أنثى","Female","1440"
"70+","70+","سعودي"," Saudi ","414","أنثى","Female","1440"
"20-29","20-29","غير سعودي","Non Saudi","209","ذكر","Male","1441"
"30-39","30-39","غير سعودي","Non Saudi","857","ذكر","Male","1441"
"50-59","50-59","سعودي"," Saudi ","5944","أنثى","Female","1440"
"60-69","60-69","غير سعودي","Non Saudi","2305","ذكر","Male","1441"
"30-39","30-39","غير سعودي","Non Saudi","45982","ذكر","Male","1441"
"20-29","20-29","غير سعودي","Non Saudi","1702","أنثى","Female","1439"
"0-9","0-9","سعودي"," Saudi ","927","أنثى","Female","1440"
"50-59","50-59","سعودي"," Saudi ","3515","أنثى","Female","1439"
"50-59","50-59","غير سعودي","Non Saudi","3386","أنثى","Female","1440"
"60-69","60-69","غير سعودي","Non Saudi","14526","ذكر","Male","1440"
"30-39","30-39","سعودي"," Saudi ","5486","ذكر","Male","1440"
"40-49","40-49","سعودي"," Saudi ","10742","أنثى","Female","1439"
"70+","70+","غير سعودي","Non Saudi","5680","ذكر","Male","1439"
"10-19","10-19","غير سعودي","Non Saudi","775","ذكر","Male","1440"
"40-49","40-49","سعودي"," Saudi ","7033","ذكر","Male","1440"
"50-59","50-59","غير سعودي","Non Saudi","89","أنثى","Female","1441"
"10-19","10-19","غير سعودي","Non Saudi","1043","ذكر","Male","1441"
"70+","70+","سعودي"," Saudi ","176","ذكر","Male","1440"
"40-49","40-49","سعودي"," Saudi ","122","أنثى","Female","1441"
"20-29","20-29","غير سعودي","Non Saudi","96","أنثى","Female","1439"
"20-29","20-29","سعودي"," Saudi ","10027","ذكر","Male","1440"
"20-29","20-29","سعودي"," Saudi ","9626","ذكر","Male","1439"
"20-29","20-29","غير سعودي","Non Saudi","201944","ذكر","Male","1440"
"50-59","50-59","سعودي"," Saudi ","2863","ذكر","Male","1439"
"40-49","40-49","سعودي"," Saudi ","194","أنثى","Female","1441"
"40-49","40-49","غير سعودي","Non Saudi","21244","ذكر","Male","1439"
"60-69","60-69","سعودي"," Saudi ","3433","أنثى","Female","1439"
"20-29","20-29","غير سعودي","Non Saudi","2900","أنثى","Female","1441"
"0-9","0-9","سعودي"," Saudi ","4131","ذكر","Male","1441"
"30-39","30-39","سعودي"," Saudi ","3041","أنثى","Female","1441"
"40-49","40-49","سعودي"," Saudi ","214","ذكر","Male","1441"
"50-59","50-59","سعودي"," Saudi ","619","أنثى","Female","1440"
"40-49","40-49","سعودي"," Saudi ","8752","أنثى","Female","1440"
"20-29","20-29","سعودي"," Saudi ","515","أنثى","Female","1441"
"50-59","50-59","سعودي"," Saudi ","291","ذكر","Male","1441"
"20-29","20-29","سعودي"," Saudi ","8177","ذكر","Male","1440"
"60-69","60-69","غير سعودي","Non Saudi","1158","أنثى","Female","1440"
"10-19","10-19","غير سعودي","Non Saudi","1877","أنثى","Female","1440"
"30-39","30-39","غير سعودي","Non Saudi","1758","ذكر","Male","1441"
"40-49","40-49","غير سعودي","Non Saudi","720","ذكر","Male","1441"
"30-39","30-39","سعودي"," Saudi ","403","أنثى","Female","1441"
"10-19","10-19","غير سعودي","Non Saudi","94","أنثى","Female","1441"
"40-49","40-49","غير سعودي","Non Saudi","524980","ذكر","Male","1439"
"40-49","40-49","غير سعودي","Non Saudi","1108","ذكر","Male","1440"
"60-69","60-69","سعودي"," Saudi ","6611","ذكر","Male","1440"
"10-19","10-19","سعودي"," Saudi ","51449","ذكر","Male","1440"
"50-59","50-59","غير سعودي","Non Saudi","30557","ذكر","Male","1440"
"60-69","60-69","سعودي"," Saudi ","3641","ذكر","Male","1441"
"30-39","30-39","غير سعودي","Non Saudi","4996","أنثى","Female","1439"
"70+","70+","سعودي"," Saudi ","2191","ذكر","Male","1441"
"10-19","10-19","غير سعودي","Non Saudi","6023","ذكر","Male","1441"
"20-29","20-29","غير سعودي","Non Saudi","14109","ذكر","Male","1441"
"50-59","50-59","سعودي"," Saudi ","1519","ذكر","Male","1440"
"40-49","40-49","غير سعودي","Non Saudi","1054","أنثى","Female","1441"
"10-19","10-19","غير سعودي","Non Saudi","1027","ذكر","Male","1440"
"40-49","40-49","غير سعودي","Non Saudi","1118","أنثى","Female","1441"
"40-49","40-49","غير سعودي","Non Saudi","447","أنثى","Female","1440"
"30-39","30-39","غير سعودي","Non Saudi","893","أنثى","Female","1439"
"50-59","50-59","سعودي"," Saudi ","3306","ذكر","Male","1439"
"50-59","50-59","غير سعودي","Non Saudi","1867","ذكر","Male","1439"
"10-19","10-19","غير سعودي","Non Saudi","954","أنثى","Female","1439"
"40-49","40-49","غير سعودي","Non Saudi","245","أنثى","Female","1441"
"10-19","10-19","غير سعودي","Non Saudi","466","ذكر","Male","1441"
"0-9","0-9","غير سعودي","Non Saudi","665","أنثى","Female","1439"
"30-39","30-39","سعودي"," Saudi ","24760","ذكر","Male","1439"
"30-39","30-39","غير سعودي","Non Saudi","276272","ذكر","Male","1439"
"20-29","20-29","سعودي"," Saudi ","4478","ذكر","Male","1441"
"70+","70+","سعودي"," Saudi ","2718","ذكر","Male","1440"
"30-39","30-39","سعودي"," Saudi ","4118","أنثى","Female","1439"
"30-39","30-39","سعودي"," Saudi ","406","ذكر","Male","1441"
"20-29","20-29","سعودي"," Saudi ","14432","ذكر","Male","1440"
"30-39","30-39","غير سعودي","Non Saudi","2404","أنثى","Female","1440"
"0-9","0-9","سعودي"," Saudi ","28416","ذكر","Male","1440"
"40-49","40-49","غير سعودي","Non Saudi","1978","أنثى","Female","1439"
"70+","70+","سعودي"," Saudi ","1243","ذكر","Male","1439"
"70+","70+","سعودي"," Saudi ","214","ذكر","Male","1439"
"70+","70+","غير سعودي","Non Saudi","1044","ذكر","Male","1440"
"60-69","60-69","غير سعودي","Non Saudi","210","ذكر","Male","1441"
"10-19","10-19","سعودي"," Saudi ","3874","أنثى","Female","1439"
"50-59","50-59","غير سعودي","Non Saudi","19151","ذكر","Male","1439"
"40-49","40-49","سعودي"," Saudi ","10558","ذكر","Male","1440"
"70+","70+","سعودي"," Saudi ","774","أنثى","Female","1440"
"0-9","0-9","سعودي"," Saudi ","5270","ذكر","Male","1439"
"20-29","20-29","سعودي"," Saudi ","5920","أنثى","Female","1439"
"50-59","50-59","غير سعودي","Non Saudi","876","ذكر","Male","1439"
"20-29","20-29","سعودي"," Saudi ","42982","أنثى","Female","1439"
"10-19","10-19","غير سعودي","Non Saudi","20295","ذكر","Male","1440"
"40-49","40-49","سعودي"," Saudi ","4321","ذكر","Male","1441"
"70+","70+","سعودي"," Saudi ","565","أنثى","Female","1441"
"10-19","10-19","غير سعودي","Non Saudi","12962","ذكر","Male","1441"
"50-59","50-59","سعودي"," Saudi ","19504","ذكر","Male","1439"
"20-29","20-29","غير سعودي","Non Saudi","1845","ذكر","Male","1440"
"60-69","60-69","غير سعودي","Non Saudi","925","ذكر","Male","1440"
"70+","70+","سعودي"," Saudi ","1298","أنثى","Female","1440"
"20-29","20-29","غير سعودي","Non Saudi","1726","ذكر","Male","1439"
"50-59","50-59","سعودي"," Saudi ","159","ذكر","Male","1441"
"60-69","60-69","غير سعودي","Non Saudi","1047","أنثى","Female","1440"
"10-19","10-19","غير سعودي","Non Saudi","194","أنثى","Female","1439"
"40-49","40-49","غير سعودي","Non Saudi","173193","أنثى","Female","1440"
"20-29","20-29","غير سعودي","Non Saudi","83463","أنثى","Female","1440"
"30-39","30-39","غير سعودي","Non Saudi","3060","ذكر","Male","1441"
"0-9","0-9","سعودي"," Saudi ","3699","ذكر","Male","1440"
"30-39","30-39","غير سعودي","Non Saudi","479","ذكر","Male","1441"
"40-49","40-49","غير سعودي","Non Saudi","1034","أنثى","Female","1440"
"30-39","30-39","غير سعودي","Non Saudi","5281","ذكر","Male","1439"
"40-49","40-49","غير سعودي","Non Saudi","1655","أنثى","Female","1441"
"20-29","20-29","غير سعودي","Non Saudi","34325","أنثى","Female","1440"
"20-29","20-29","سعودي"," Saudi ","3597","أنثى","Female","1439"
"50-59","50-59","سعودي"," Saudi ","238","ذكر","Male","1441"
"40-49","40-49","غير سعودي","Non Saudi","5342","ذكر","Male","1440"
"0-9","0-9","سعودي"," Saudi ","986","ذكر","Male","1439"
"60-69","60-69","غير سعودي","Non Saudi","1142","ذكر","Male","1440"
"20-29","20-29","غير سعودي","Non Saudi","222","أنثى","Female","1440"
"50-59","50-59","سعودي"," Saudi ","187","ذكر","Male","1441"
"70+","70+","سعودي"," Saudi ","1513","ذكر","Male","1439"
"50-59","50-59","غير سعودي","Non Saudi","1143","ذكر","Male","1441"
"70+","70+","سعودي"," Saudi ","1540","أنثى","Female","1439"
"50-59","50-59","سعودي"," Saudi ","759","أنثى","Female","1441"
"40-49","40-49","غير سعودي","Non Saudi","958","ذكر","Male","1441"
"40-49","40-49","غير سعودي","Non Saudi","108","أنثى","Female","1440"
"0-9","0-9","سعودي"," Saudi ","6227","أنثى","Female","1440"
"30-39","30-39","غير سعودي","Non Saudi","422","ذكر","Male","1441"
"70+","70+","سعودي"," Saudi ","422","ذكر","Male","1440"
"40-49","40-49","غير سعودي","Non Saudi","649","أنثى","Female","1439"
"10-19","10-19","غير سعودي","Non Saudi","8778","أنثى","Female","1439"
"20-29","20-29","سعودي"," Saudi ","11968","ذكر","Male","1440"
"40-49","40-49","سعودي"," Saudi ","18411","ذكر","Male","1440"
"30-39","30-39","غير سعودي","Non Saudi","50727","ذكر","Male","1440"
"0-9","0-9","سعودي"," Saudi ","5888","أنثى","Female","1440"
"20-29","20-29","غير سعودي","Non Saudi","1204","ذكر","Male","1441"
"0-9","0-9","سعودي"," Saudi ","2499","أنثى","Female","1441"
"10-19","10-19","سعودي"," Saudi ","2816","ذكر","Male","1439"
"30-39","30-39","غير سعودي","Non Saudi","10452","أنثى","Female","1440"
"20-29","20-29","سعودي"," Saudi ","15869","أنثى","Female","1441"
"40-49","40-49","غير سعودي","Non Saudi","5022","ذكر","Male","1441"
"60-69","60-69","سعودي"," Saudi ","2439","أنثى","Female","1439"
"10-19","10-19","غير سعودي","Non Saudi","348","أنثى","Female","1440"
"10-19","10-19","غير سعودي","Non Saudi","799","ذكر","Male","1440"
"10-19","10-19","غير سعودي","Non Saudi","682","أنثى","Female","1439"
"20-29","20-29","سعودي"," Saudi ","1956","أنثى","Female","1440"
"30-39","30-39","غير سعودي","Non Saudi","2426","أنثى","Female","1441"
"70+","70+","سعودي"," Saudi ","434","أنثى","Female","1440"
"20-29","20-29","سعودي"," Saudi ","620","أنثى","Female","1441"
"30-39","30-39","غير سعودي","Non Saudi","125794","ذكر","Male","1440"
"40-49","40-49","غير سعودي","Non Saudi","18242","أنثى","Female","1441"
"50-59","50-59","غير سعودي","Non Saudi","62392","ذكر","Male","1440"
"40-49","40-49","غير سعودي","Non Saudi","110414","أنثى","Female","1440"
"0-9","0-9","غير سعودي","Non Saudi","33332","ذكر","Male","1439"
"30-39","30-39","غير سعودي","Non Saudi","17984","أنثى","Female","1440"
"30-39","30-39","غير سعودي","Non Saudi","7912","ذكر","Male","1439"
"0-9","0-9","سعودي"," Saudi ","21359","أنثى","Female","1440"
"50-59","50-59","سعودي"," Saudi ","31020","ذكر","Male","1439"
"40-49","40-49","سعودي"," Saudi ","5551","ذكر","Male","1441"
"20-29","20-29","سعودي"," Saudi ","546","أنثى","Female","1441"
"30-39","30-39","سعودي"," Saudi ","2359","ذكر","Male","1439"
"10-19","10-19","غير سعودي","Non Saudi","136","أنثى","Female","1440"
"30-39","30-39","سعودي"," Saudi ","1531","أنثى","Female","1439"
"10-19","10-19","غير سعودي","Non Saudi","5612","ذكر","Male","1439"
"20-29","20-29","غير سعودي","Non Saudi","153","أنثى","Female","1441"
"60-69","60-69","سعودي"," Saudi ","330","أنثى","Female","1441"
"30-39","30-39","غير سعودي","Non Saudi","10715","أنثى","Female","1441"
"20-29","20-29","سعودي"," Saudi ","23902","ذكر","Male","1439"
"40-49","40-49","غير سعودي","Non Saudi","19399","ذكر","Male","1440"
"10-19","10-19","سعودي"," Saudi ","1937","ذكر","Male","1441"
"40-49","40-49","غير سعودي","Non Saudi","1353","ذكر","Male","1440"
"50-59","50-59","سعودي"," Saudi ","2128","أنثى","Female","1440"
"50-59","50-59","سعودي"," Saudi ","234","ذكر","Male","1441"
"50-59","50-59","سعودي"," Saudi ","862","أنثى","Female","1439"
"40-49","40-49","غير سعودي","Non Saudi","7883","ذكر","Male","1439"
"0-9","0-9","سعودي"," Saudi ","3667","ذكر","Male","1439"
"70+","70+","سعودي"," Saudi ","1121","ذكر","Male","1439"
"20-29","20-29","غير سعودي","Non Saudi","11005","أنثى","Female","1440"
"50-59","50-59","غير سعودي","Non Saudi","65074","ذكر","Male","1439"
"70+","70+","سعودي"," Saudi ","675","أنثى","Female","1440"
"40-49","40-49","غير سعودي","Non Saudi","1632","أنثى","Female","1441"
"20-29","20-29","غير سعودي","Non Saudi","15989","أنثى","Female","1439"
"30-39","30-39","سعودي"," Saudi ","3695","ذكر","Male","1441"
"60-69","60-69","سعودي"," Saudi ","3628","أنثى","Female","1439"
"30-39","30-39","سعودي"," Saudi ","19030","أنثى","Female","1440"
"20-29","20-29","سعودي"," Saudi ","2962","أنثى","Female","1441"
"30-39","30-39","غير سعودي","Non Saudi","73","أنثى","Female","1441"
"60-69","60-69","سعودي"," Saudi ","2867","أنثى","Female","1440"
"20-29","20-29","سعودي"," Saudi ","2147","ذكر","Male","1440"
"0-9","0-9","سعودي"," Saudi ","5012","أنثى","Female","1439"
"0-9","0-9","غير سعودي","Non Saudi","2813","أنثى","Female","1439"
"70+","70+","غير سعودي","Non Saudi","496","ذكر","Male","1440"
"20-29","20-29","سعودي"," Saudi ","53866","ذكر","Male","1439"
"0-9","0-9","سعودي"," Saudi ","2476","ذكر","Male","1441"
"20-29","20-29","سعودي"," Saudi ","113014","أنثى","Female","1439"
"10-19","10-19","غير سعودي","Non Saudi","4098","ذكر","Male","1439"
"60-69","60-69","غير سعودي","Non Saudi","122779","ذكر","Male","1440"
"20-29","20-29","سعودي"," Saudi ","3246","أنثى","Female","1440"
"10-19","10-19","غير سعودي","Non Saudi","1366","ذكر","Male","1439"
"0-9","0-9","سعودي"," Saudi ","2628","أنثى","Female","1439"
"0-9","0-9","غير سعودي","Non Saudi","190","أنثى","Female","1440"
"30-39","30-39","سعودي"," Saudi ","811","أنثى","Female","1441"
"70+","70+","سعودي"," Saudi ","281","أنثى","Female","1439"
"20-29","20-29","سعودي"," Saudi ","556","ذكر","Male","1441"
"10-19","10-19","سعودي"," Saudi ","241","ذكر","Male","1441"
"20-29","20-29","سعودي"," Saudi ","1031","أنثى","Female","1441"
"40-49","40-49","سعودي"," Saudi ","6457","ذكر","Male","1440"
"50-59","50-59","سعودي"," Saudi ","159","ذكر","Male","1441"
"30-39","30-39","سعودي"," Saudi ","431","ذكر","Male","1441"
"20-29","20-29","سعودي"," Saudi ","2026","أنثى","Female","1439"
"40-49","40-49","سعودي"," Saudi ","2691","ذكر","Male","1441"
"30-39","30-39","سعودي"," Saudi ","886","أنثى","Female","1439"
"70+","70+","سعودي"," Saudi ","393","أنثى","Female","1440"
"50-59","50-59","سعودي"," Saudi ","5187","ذكر","Male","1440"
"40-49","40-49","سعودي"," Saudi ","299","ذكر","Male","1441"
"10-19","10-19","سعودي"," Saudi ","34195","ذكر","Male","1440"
"0-9","0-9","غير سعودي","Non Saudi","22614","أنثى","Female","1440"
"0-9","0-9","غير سعودي","Non Saudi","4732","أنثى","Female","1439"
"10-19","10-19","غير سعودي","Non Saudi","1634","أنثى","Female","1440"
"10-19","10-19","غير سعودي","Non Saudi","417","أنثى","Female","1439"
"10-19","10-19","سعودي"," Saudi ","403","أنثى","Female","1441"
"10-19","10-19","سعودي"," Saudi ","1205","أنثى","Female","1440"
"50-59","50-59","غير سعودي","Non Saudi","2741","ذكر","Male","1439"
"50-59","50-59","سعودي"," Saudi ","303","أنثى","Female","1441"
"60-69","60-69","سعودي"," Saudi ","695","أنثى","Female","1441"
"70+","70+","سعودي"," Saudi ","229","ذكر","Male","1439"
"30-39","30-39","سعودي"," Saudi ","6294","ذكر","Male","1440"
"0-9","0-9","غير سعودي","Non Saudi","2895","أنثى","Female","1441"
"0-9","0-9","غير سعودي","Non Saudi","173","ذكر","Male","1440"
"10-19","10-19","غير سعودي","Non Saudi","16562","أنثى","Female","1440"
"0-9","0-9","سعودي"," Saudi ","17703","ذكر","Male","1439"
"40-49","40-49","سعودي"," Saudi ","19515","ذكر","Male","1439"
"30-39","30-39","سعودي"," Saudi ","22214","ذكر","Male","1439"
"20-29","20-29","سعودي"," Saudi ","121757","ذكر","Male","1439"
"60-69","60-69","سعودي"," Saudi ","5892","أنثى","Female","1440"
"30-39","30-39","غير سعودي","Non Saudi","49693","ذكر","Male","1440"
"0-9","0-9","سعودي"," Saudi ","20236","ذكر","Male","1439"
"50-59","50-59","سعودي"," Saudi ","10283","ذكر","Male","1440"
"10-19","10-19","غير سعودي","Non Saudi","1873","ذكر","Male","1441"
"0-9","0-9","سعودي"," Saudi ","4800","ذكر","Male","1441"
"10-19","10-19","غير سعودي","Non Saudi","3495","ذكر","Male","1440"
"30-39","30-39","سعودي"," Saudi ","7495","أنثى","Female","1441"
"10-19","10-19","سعودي"," Saudi ","3048","ذكر","Male","1440"
"10-19","10-19","سعودي"," Saudi ","3163","أنثى","Female","1441"
"70+","70+","سعودي"," Saudi ","284","ذكر","Male","1440"
"20-29","20-29","غير سعودي","Non Saudi","156","أنثى","Female","1441"
"70+","70+","سعودي"," Saudi ","519","أنثى","Female","1439"
"50-59","50-59","سعودي"," Saudi ","602","أنثى","Female","1441"
"50-59","50-59","سعودي"," Saudi ","83","أنثى","Female","1441"
"70+","70+","سعودي"," Saudi ","54","ذكر","Male","1439"
"40-49","40-49","غير سعودي","Non Saudi","93709","ذكر","Male","1439"
"30-39","30-39","غير سعودي","Non Saudi","74016","ذكر","Male","1439"
"30-39","30-39","غير سعودي","Non Saudi","54522","ذكر","Male","1441"
"10-19","10-19","سعودي"," Saudi ","6240","ذكر","Male","1441"
"50-59","50-59","غير سعودي","Non Saudi","1665","ذكر","Male","1441"
"50-59","50-59","سعودي"," Saudi ","21686","ذكر","Male","1440"
"10-19","10-19","سعودي"," Saudi ","11077","ذكر","Male","1439"
"0-9","0-9","سعودي"," Saudi ","5835","ذكر","Male","1440"
"20-29","20-29","غير سعودي","Non Saudi","5590","أنثى","Female","1440"
"20-29","20-29","غير سعودي","Non Saudi","335","أنثى","Female","1439"
"20-29","20-29","غير سعودي","Non Saudi","17787","ذكر","Male","1439"
"70+","70+","سعودي"," Saudi ","1112","ذكر","Male","1440"
"10-19","10-19","سعودي"," Saudi ","31308","أنثى","Female","1439"
"0-9","0-9","غير سعودي","Non Saudi","15038","ذكر","Male","1440"
"60-69","60-69","غير سعودي","Non Saudi","2102","أنثى","Female","1440"
"10-19","10-19","غير سعودي","Non Saudi","2557","أنثى","Female","1439"
"0-9","0-9","غير سعودي","Non Saudi","520","ذكر","Male","1440"
"30-39","30-39","غير سعودي","Non Saudi","1694","ذكر","Male","1441"
"0-9","0-9","سعودي"," Saudi ","586","أنثى","Female","1440"
"0-9","0-9","سعودي"," Saudi ","345","أنثى","Female","1441"
"50-59","50-59","سعودي"," Saudi ","3633","أنثى","Female","1439"
"20-29","20-29","غير سعودي","Non Saudi","4004","أنثى","Female","1440"
"0-9","0-9","سعودي"," Saudi ","1778","أنثى","Female","1441"
"20-29","20-29","غير سعودي","Non Saudi","740","ذكر","Male","1439"
"20-29","20-29","غير سعودي","Non Saudi","1022","ذكر","Male","1441"
"10-19","10-19","غير سعودي","Non Saudi","1811","ذكر","Male","1441"
"20-29","20-29","سعودي"," Saudi ","9316","ذكر","Male","1439"
"20-29","20-29","سعودي"," Saudi ","4224","أنثى","Female","1441"
"10-19","10-19","غير سعودي","Non Saudi","425","أنثى","Female","1440"
"0-9","0-9","غير سعودي","Non Saudi","1690","ذكر","Male","1440"
"40-49","40-49","سعودي"," Saudi ","3936","أنثى","Female","1439"
"60-69","60-69","سعودي"," Saudi ","2346","ذكر","Male","1439"
"50-59","50-59","سعودي"," Saudi ","611","أنثى","Female","1440"
"60-69","60-69","سعودي"," Saudi ","1107","ذكر","Male","1439"
"40-49","40-49","غير سعودي","Non Saudi","1696","أنثى","Female","1441"
"70+","70+","سعودي"," Saudi ","407","ذكر","Male","1440"
"30-39","30-39","غير سعودي","Non Saudi","316","ذكر","Male","1441"
"60-69","60-69","سعودي"," Saudi ","121","ذكر","Male","1441"
"50-59","50-59","سعودي"," Saudi ","439","أنثى","Female","1439"
"70+","70+","سعودي"," Saudi ","424","ذكر","Male","1439"
"60-69","60-69","سعودي"," Saudi ","441","ذكر","Male","1439"
"0-9","0-9","غير سعودي","Non Saudi","632","ذكر","Male","1439"
"60-69","60-69","سعودي"," Saudi ","2209","أنثى","Female","1440"
"60-69","60-69","غير سعودي","Non Saudi","47","أنثى","Female","1439"
"0-9","0-9","غير سعودي","Non Saudi","73668","أنثى","Female","1439"
"40-49","40-49","سعودي"," Saudi ","5347","أنثى","Female","1440"
"0-9","0-9","سعودي"," Saudi ","3417","ذكر","Male","1439"
"0-9","0-9","غير سعودي","Non Saudi","1916","أنثى","Female","1441"
"50-59","50-59","سعودي"," Saudi ","7913","ذكر","Male","1440"
"0-9","0-9","سعودي"," Saudi ","14548","أنثى","Female","1440"
"30-39","30-39","غير سعودي","Non Saudi","7634","أنثى","Female","1440"
"60-69","60-69","سعودي"," Saudi ","4558","أنثى","Female","1440"
"20-29","20-29","غير سعودي","Non Saudi","887","ذكر","Male","1439"
"0-9","0-9","غير سعودي","Non Saudi","5475","أنثى","Female","1441"
"50-59","50-59","سعودي"," Saudi ","592","ذكر","Male","1440"
"30-39","30-39","سعودي"," Saudi ","4923","أنثى","Female","1440"
"50-59","50-59","سعودي"," Saudi ","1636","ذكر","Male","1440"
"0-9","0-9","سعودي"," Saudi ","720","أنثى","Female","1439"
"40-49","40-49","سعودي"," Saudi ","644","أنثى","Female","1440"
"50-59","50-59","غير سعودي","Non Saudi","5660","أنثى","Female","1440"
"40-49","40-49","غير سعودي","Non Saudi","605","ذكر","Male","1441"
"70+","70+","سعودي"," Saudi ","1542","أنثى","Female","1439"
"70+","70+","غير سعودي","Non Saudi","1427","ذكر","Male","1440"
"70+","70+","سعودي"," Saudi ","227","أنثى","Female","1439"
"30-39","30-39","سعودي"," Saudi ","26115","ذكر","Male","1439"
"10-19","10-19","غير سعودي","Non Saudi","55509","ذكر","Male","1439"
"10-19","10-19","سعودي"," Saudi ","11860","أنثى","Female","1439"
"50-59","50-59","سعودي"," Saudi ","4582","أنثى","Female","1440"
"50-59","50-59","سعودي"," Saudi ","7660","ذكر","Male","1441"
"10-19","10-19","سعودي"," Saudi ","4892","ذكر","Male","1441"
"20-29","20-29","سعودي"," Saudi ","3663","أنثى","Female","1440"
"70+","70+","سعودي"," Saudi ","853","ذكر","Male","1441"
"20-29","20-29","سعودي"," Saudi ","6470","أنثى","Female","1441"
"70+","70+","سعودي"," Saudi ","6268","ذكر","Male","1439"
"50-59","50-59","سعودي"," Saudi ","5124","ذكر","Male","1441"
"30-39","30-39","غير سعودي","Non Saudi","1510","أنثى","Female","1441"
"60-69","60-69","سعودي"," Saudi ","109","ذكر","Male","1441"
"50-59","50-59","سعودي"," Saudi ","1037","ذكر","Male","1439"
"70+","70+","غير سعودي","Non Saudi","756","ذكر","Male","1440"
"20-29","20-29","غير سعودي","Non Saudi","1300","ذكر","Male","1439"
"40-49","40-49","سعودي"," Saudi ","1516","ذكر","Male","1441"
"0-9","0-9","غير سعودي","Non Saudi","22201","أنثى","Female","1439"
"60-69","60-69","غير سعودي","Non Saudi","428","ذكر","Male","1439"
"10-19","10-19","غير سعودي","Non Saudi","2399","ذكر","Male","1439"
"30-39","30-39","غير سعودي","Non Saudi","689","أنثى","Female","1439"
"70+","70+","سعودي"," Saudi ","745","ذكر","Male","1439"
"30-39","30-39","غير سعودي","Non Saudi","1240","أنثى","Female","1439"
"0-9","0-9","غير سعودي","Non Saudi","17614","أنثى","Female","1440"
"40-49","40-49","غير سعودي","Non Saudi","6424","ذكر","Male","1440"
"10-19","10-19","سعودي"," Saudi ","4152","أنثى","Female","1440"
"30-39","30-39","غير سعودي","Non Saudi","9832","ذكر","Male","1439"
"10-19","10-19","سعودي"," Saudi ","1586","ذكر","Male","1439"
"50-59","50-59","غير سعودي","Non Saudi","8365","ذكر","Male","1440"
"50-59","50-59","غير سعودي","Non Saudi","3898","ذكر","Male","1440"
"40-49","40-49","غير سعودي","Non Saudi","2620","أنثى","Female","1439"
"50-59","50-59","سعودي"," Saudi ","752","أنثى","Female","1441"
"30-39","30-39","غير سعودي","Non Saudi","662","أنثى","Female","1440"
"70+","70+","غير سعودي","Non Saudi","4843","ذكر","Male","1440"
"30-39","30-39","غير سعودي","Non Saudi","3841","أنثى","Female","1440"
"50-59","50-59","غير سعودي","Non Saudi","2204","أنثى","Female","1439"
"0-9","0-9","غير سعودي","Non Saudi","310","ذكر","Male","1439"
"0-9","0-9","غير سعودي","Non Saudi","2254","ذكر","Male","1440"
"10-19","10-19","سعودي"," Saudi ","1169","أنثى","Female","1441"
"20-29","20-29","غير سعودي","Non Saudi","117","أنثى","Female","1439"
"30-39","30-39","غير سعودي","Non Saudi","644","ذكر","Male","1441"
"40-49","40-49","سعودي"," Saudi ","185","أنثى","Female","1441"
"70+","70+","سعودي"," Saudi ","400","أنثى","Female","1439"
"60-69","60-69","سعودي"," Saudi ","10128","ذكر","Male","1439"
"20-29","20-29","غير سعودي","Non Saudi","24462","ذكر","Male","1441"
"10-19","10-19","سعودي"," Saudi ","13650","ذكر","Male","1439"
